ID,部门,分类,任务,负责人,前置任务,状态,备注
T32,场地,布景,主题布景设计,咩咩;Fero;小火;蜀山;光;早苗,T51,未开始,联动美术
T33,场地,布景,主题布景下单,咩咩;Fero,T32,未开始,
T34,场地,布景,主题布景制作,Fero;Abi;小火,T33,未开始,
T35,场地,布景,主题布景运输,红白,T34,未开始,企鹅物流
T36,场地,布景,主题布景设置(提前一天/预演),咩咩;Fero;小火;蜀山;光;早苗,T35,未开始,
T37,AA,摊位,摊位招募,蜀山,,未开始,联动法务
T38,AA,摊位,摊位审核,蜀山,T37,未开始,
T39,AA,摊位,摊位联系,蜀山,T38,未开始,
T40,AA,摊位,摊位合同确认以及收款,光,T39,未开始,
T41,舞台,节目,舞台节目招募,早苗;老师,,未开始,宅舞/唱歌
T42,舞台,节目,舞台节目审核,早苗;老师;波兰小哥,T41,未开始,跳宅舞
T43,舞台,小游戏,舞台小游戏设计和跟Hina讲解,Fero,T63,未开始,联动小游戏设计
T44,舞台,节目,舞台时间轴安排,Fero;早苗;老师,T42,未开始,
T45,舞台,技术,舞台场地规划(AV需求),早苗;老师;波兰小哥,T23,未开始,
T46,舞台,节目,舞台PPT,Fero;早苗;老师;小火,T44,未开始,
T47,舞台,技术,舞台设备租赁,早苗;老师;波兰小哥,T45,未开始,MIN=保证舞台能用 对齐去年水平
T48,舞台,技术,舞台音响调试,早苗;老师;波兰小哥,T47,未开始,
T49,美术,KV,确认初步KV设计草图,小火,,未开始,
T50,美术,KV,对接KV设计,小火,T49,未开始,
T51,美术,KV,完成KV设计,小火,T50,未开始,
T52,美术,物料设计,设计场贩物料,小火;Vita;Abi,T51,未开始,联动物料
T53,美术,物料设计,设计奖品物料,小火;Vita;Abi,T51,未开始,
T54,美术,场地,场刊与纸袋等赠品设计,小火;Vita;Abi,T51,未开始,
T55,美术,场地,Cosplay lineup模板,小火;Vita;Abi,,未开始,
T56,美术,场地,小活动相关美术设计,Fero;小火;Vita;Abi,T61,未开始,Fero提要求+美术组+布景组
T57,美术,网站,网页设计与更新,盐宝,T58;T51,未开始,盐(?)
T58,美术,网站,写网页所需文案(policy/招募问卷表格),光,,未开始,联动法务/财务
T59,美术,网站,购票页面,盐宝;小火,T57,未开始,
T60,活动,策划,设计主题沉浸活动背景文案,Fero,,未开始,联动美术/物料/宣发
T61,活动,策划,拆分主题沉浸活动到摊位/布景/物料,Fero,T60,未开始,
T62,活动,策划,准备对应材料并设计印刷,Fero;小火;Vita;Abi,T61,未开始,Fero提要求+美术组
T63,活动,舞台,设计舞台小游戏活动,Fero,,未开始,联动舞台
T64,活动,舞台,准备舞台小游戏物料,Fero;小火;Vita;Abi,T63,未开始,Fero提要求+美术组
T65,活动,舞台,讲解舞台小游戏,Fero,T64,未开始,
T66,活动,有人摊位,设计摊位活动,Fero,,未开始,联动人力
T67,活动,有人摊位,准备摊位小游戏物料,Fero;小火;Vita;Abi,T66,未开始,Fero提要求+美术组
T68,活动,有人摊位,讲解摊位小游戏给Staff,Fero,T67,未开始,
T69,活动,无人摊位,调研是否设置无人摊位(布景/抓娃娃机等),蜀山;光;早苗;Fero;咩咩,,未开始,联动布景
T70,活动,无人摊位,无人摊位准备相应设备,蜀山;咩咩;Abi;Fero,T69,未开始,布景组
T71,人力,Coser,联系Coser嘉宾并购买所需服装道具,咩咩,T51,未开始,联动KV/宣发
T72,人力,Coser,联系Coser嘉宾后勤,咩咩,T71,未开始,
T73,人力,Staff,规划现场需要的人员,早苗,,未开始,联动法务
T74,人力,Staff,联系人员并培训,早苗,T73,未开始,
T75,人力,Staff,Staff合同起草以及报酬发放,光;Xixi,T74,未开始,光团
T76,人力,主负责,安排主要区域人员,蜀山;光;早苗,T73,未开始,主催三人组
T77,人力,主负责,对接全部staff与培训,早苗,T74,未开始,
T78,人力,杂项,购买场地需要的零食饮料,早苗,,未开始,
T79,人力,杂项,购买午餐,早苗,,未开始,
T80,人力,杂项,购买需要的医疗用品,早苗,,未开始,
T81,人力,杂项,考虑场地物料运输(uhaul),红白,T82,未开始,企鹅物流组
T82,人力,杂项,物料检查分发打包,全员,T83,未开始,能上的都上!
T83,物料,物流,所有物料下单与打样,红白,T52;T53,未开始,企鹅物流
T84,物料,物流,准备贩售物料menu与印刷运输成品,红白,T13;T52,未开始,企鹅物流
T85,物料,物流,监管所有物料运输,红白,T83,未开始,联动美术;企鹅物流
